Sr.No,url,Painting name,Artist Name,Height,Width,Location,Artist_Region,Views,Favorites,Painting_PopularityIndex,Price,Subject,Medium,Number of mediums,Pri12y medium,Published date,Size,Month,Day,Year,Date uploaded,Age of painting as on 8-Apr,Artist_artworks,Artist_followers,Artist_popularityIndex,Material,Number_materials,Pri12y_materials,Style,Number_styles,Pri12y_style
1,https://www.saatchiart.com/art/Painting-Cafe-Jardin/867774/3537836/view,Cafe Jardin Painting by Shellie Garber,Shellie Garber,24,18,United States,North America,61,5,0.082,310,Floral ,Acrylic ,1,Acrylic ,Mon Apr 10 20:00:00 EDT 2017,432,4,10,2017,42835,0,136,94,0.04,Paper ,1,Paper ,"Abstract, Abstract Expressionism, Fine Art ",3,Abstract
2,https://www.saatchiart.com/art/Painting-Rose-Trellis/867774/3507979/view,Rose Trellis Painting by Shellie Garber,Shellie Garber,14,11,United States,North America,117,9,0.077,190,Abstract ,Acrylic ,1,Acrylic ,Sun 12 26 20:00:00 EDT 2017,154,12,26,2017,42820,13,136,94,0.04,Paper ,1,Paper ,"Abstract, Abstract Expressionism, Fine Art ",3,Abstract
3,https://www.saatchiart.com/art/Painting-Deck-Chairs-Series-No7/910/3492717/view,Deck Chairs Series No7 Painting by Renata Fernandez,Renata Fernandez,15.7,12.6,United Kingdom,Europe,89,13,0.146,2710,Landscape ,Oil ,1,Oil ,Sun Feb 19 19:00:00 EST 2017,197.82,2,19,2017,42785,48,52,173,0.07,"Canvas, Cardboard ",2,Canvas,"Figurative, Fine Art, Realism ",3,Figurative
4,https://www.saatchiart.com/art/Painting-At-the-Beach/85770/1347630/view,At the Beach,Dan Adams,8,10,United States,North America,0,0,0,1140,Beach,Oil,1,Oil,Sat Jan 5 19:00:00 EST 2008,80,1,14,2017,42749,84,91,224,0.09,Canvas ,1,Canvas ,"Expressionism, Figurative, Fine Art ",3,Expressionism
5,https://www.saatchiart.com/art/Painting-not-human-rave/420360/2582039/view,not human... rave,yossi kotler,47.2,31.5,Israel,Asia,0,0,0,1590,Abstract,"Acrylic,Digital,Ink,Paint",4,Acrylic,Wed Dec 31 19:00:00 EST 2014,1486.8,12,31,2016,42735,98,432,417,0.17,Canvas ,1,Canvas ,"Abstract Expressionism, Conceptual, Figurative, Fine Art, Portraiture ",5,Abstract Expressionism
6,https://www.saatchiart.com/art/Painting-The-acrobat/854106/2938056/view,The acrobat,Nathalie Gribinski,36,36,France,Europe,0,0,0,1390,Abstract,Acrylic,1,Acrylic,Fri Apr 8 20:00:00 EDT 2016,1296,12,31,2016,42735,98,495,25,0.01,Canvas ,1,Canvas ,"Abstract, Fine Art, Modern ",3,Abstract
7,https://www.saatchiart.com/art/Painting-Fashionatura-I/913467/3465744/view,Fashionatura I,12it Geraldine Bostad,40.9,33.1,Norway,Europe,140,5,0.036,4870,Abstract,Acrylic,1,Acrylic,Sat Dec 31 19:00:00 EST 2016,1353.79,12,31,2016,42735,98,54,112,0.05,Canvas ,1,Canvas ,"Abstract, Fine Art ",2,Abstract
8,https://www.saatchiart.com/art/Painting-no-title/698777/2227928/view,no title,12ta Wasilewska-Fragnowska,47.2,63,Poland,Europe,250,15,0.06,2110,Abstract,Acrylic,1,Acrylic,Tue Dec 31 19:00:00 EST 2013,2973.6,12,31,2016,42735,98,30,51,0.02,Canvas ,1,Canvas ,"Abstract, Abstract Expressionism, Expressionism, Fine Art ",4,Abstract
9,https://www.saatchiart.com/art/Painting-Prepared-Mind-103/58313/2422730/view,Prepared Mind 103,12k Fearn,5.8,9.5,United Kingdom,Europe,0,0,0,240,Abstract,"Acrylic,Oil",2,Acrylic,Wed Apr 1 20:00:00 EDT 2015,55.1,12,31,2016,42735,98,1613,255,0.1,"Cardboard, Other ",2,Cardboard,"Abstract, Abstract Expressionism, Fine Art ",3,Abstract
10,https://www.saatchiart.com/art/Painting-design-6-43-Night-Owl-diptych/798571/3458902/view,"design 6, 43 Night Owl diptych",Ron Halfant,30,44,United States,North America,0,0,0,1038,Abstract,Acrylic,1,Acrylic,Sat Dec 31 19:00:00 EST 2016,1320,12,31,2016,42735,98,110,57,0.02,Canvas ,1,Canvas ,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Impressionism ",5,Abstract
